area,hemi,Thickness: AsymmetryStats,Area: AsymmetryStats,Thickness: AsymmetryStats_Sex,Area: AsymmetryStats_Sex,Thickness: AsymmetryStats_Age,Area: AsymmetryStats_Age,Thickness: AsymmetryStats_Hand,Area: AsymmetryStats_Hand,Thickness: AsymmetryStats_ICV,Area: AsymmetryStats_ICV,Thickness: AsymmetryStats_H2_HCP,Area: AsymmetryStats_H2_HCP,Thickness: AsymmetryStats_H2_GOBS,Area: AsymmetryStats_H2_GOBS
banks superior temporal,lh,-0.427246641,0.582924124,-0.004376034,-0.009801152,0.005031762,-0.019558011,0.036644735,0.066749938,-0.013729594,0.013041176,0.0187788,0.0814255,0.1066567,0.1428585
caudal anterior cingulate,lh,0.328639468,-0.722594042,-0.011814668,-0.093219911,0.002388183,-0.008473968,-0.066957676,0.035697468,0.013165574,0.045075737,0.1266318,0.0899712,0.1290559,0.1040463
caudal middle frontal,lh,0.109901343,0.512770725,0.031333983,0.041419585,0.008190392,-0.01473923,0.046380768,-0.088938351,-0.017292027,-0.030661031,0.0608976,0,0.0135974,0.0013842
cuneus,lh,-0.19030417,-0.374143884,0.044696647,0.008577993,-0.00929666,-0.001665669,0.007945905,0.027590713,-0.009013422,-0.044751269,0.0496486,0.1614327,0.0604787,0.1213429
entorhinal,lh,-0.41280542,0.79468163,0.073115607,-0.000343376,-0.011371272,0.038808004,0.005137719,0.009445825,-0.000911665,-0.005534161,0.0383283,0.1373663,0.0316003,0.2425068
fusiform,lh,-0.091185191,0.330649282,-0.037632684,-0.093418533,0.016590581,-0.006026533,-0.099319546,0.11783816,0.016706736,-0.015424459,0,0.1378762,0,0.0549498
inferior parietal,lh,-0.180328787,-1.557012563,-0.055242123,-0.12377209,0.012708495,-0.019379706,-0.044572511,0.043783677,0.04262465,0.01161359,0.1673152,0.1262705,0.0014487,0.1885353
inferior temporal,lh,-0.107541167,0.483071037,0.025102116,0.00430358,0.006033116,-0.01622592,0.002916114,0.106473807,0.018911037,-0.010406815,0.0277325,0.0361336,0.0727744,0.0866126
isthmus cingulate,lh,0.277906578,0.437956073,0.045688844,0.036801993,0.012741906,-0.018321705,0.025696343,-0.013302049,0.006797747,0.033964377,0.1477466,0.0848929,0.1713721,0.1669821
lateral occipital,lh,-0.5455581,0.299058915,-0.000292967,-0.004083342,-0.007756376,0.00907298,0.006384661,-0.046214017,-0.012372461,-0.013359181,0.114288,0.0761273,0.1633979,0.0537112
lateral orbito frontal,lh,0.298011485,0.166289199,0.012340575,-0.043583078,0.003671566,-0.009089044,-0.084144333,-0.001457215,0.018975322,-0.03243355,0.0133268,0,0.033207,0.0287476
lingual,lh,-0.39806112,-0.052405281,0.008682604,0.028596242,0.019738084,-0.029010703,-0.023426545,-0.032702473,0.007392348,0.010222584,0.0648177,0.1177224,0.1356104,0.1142565
medial orbito frontal,lh,0.027345261,0.02667244,0.071007707,-0.030153255,0.028028663,0.020324744,-0.047552016,0.03327527,0.035136943,0.049139252,0.0905118,0.0578892,0.0625162,0.1204007
middle temporal,lh,-0.101126759,-1.100667719,0.021029462,0.041655316,0.00509966,-0.005412912,-0.068627729,0.011225518,0.017474111,-0.013163886,0,0.1089423,0.0138076,0
parahippocampal,lh,0.117427106,0.300941471,0.06500895,-0.102235206,-0.006600199,0.004952898,0.018764382,-0.138430083,-0.018828379,-0.024181638,0.2127308,0.2494964,0.1530656,0.147534
para central,lh,-0.172037631,-1.002599276,-0.021910136,-0.036396048,0.008969182,-0.010411942,-0.026198098,0.080081674,0.011954451,-0.042245507,0,0.0810791,0.055626,0
pars opercularis,lh,-0.021208258,1.078642073,-0.02073718,-0.014263944,-0.00018626,0.006770281,0.070738815,0.023143823,0.027890405,0.001562208,0.0705637,0,0.1188247,0.0383871
pars orbitalis,lh,0.137965607,-1.745700751,-0.01880369,-0.069142673,0.00988316,-0.011166984,0.072848021,-0.020255426,0.01661353,0.007269072,0.0893801,0,0.0057337,0
pars triangularis,lh,0.010255254,-0.998774011,-0.013533099,-0.034452518,0.003315573,0.000705997,-0.020634266,0.044962275,-0.000785953,0.00511707,0.1041847,0.068268,0.0658311,0.0016823
pericalcarine,lh,-0.001452412,-0.944966712,0.031908411,0.001095548,-0.014687944,-0.007723245,0.000158833,-0.050253306,-0.011747624,-0.01125316,0.0758671,0.1309319,0.0670181,0.1366065
post central,lh,0.297821405,0.480663295,0.025228546,-0.014068682,0.015228413,-0.007978067,0.089224581,0.047673298,-0.020589462,-0.00648394,0.1022894,0.0234435,0.0379924,0.0698671
posterior cingulate,lh,0.228666648,-0.134576848,0.018353049,-0.020581217,-0.000490425,0.004279401,-0.085158958,0.003756149,0.020828166,-0.025444109,0.1059921,0.0173134,0.0785642,0.0447884
pre central,lh,0.325184767,-0.115908312,0.034131851,0.00186651,0.022745347,-0.02176595,0.072147999,0.047036672,0.009724778,-0.019013852,0,0.1427545,0,0.0645564
precuneus,lh,-0.177642296,-0.584997954,0.011711555,-0.052447413,0.00655577,0.00332995,-0.023306432,0.050751453,-0.002276963,-0.014501491,0.0381373,0.0121353,0.108122,0.105413
rostral anterior cingulate,lh,0.129478098,1.017765814,-0.029580116,-0.067432618,-0.023638546,0.000232758,0.014333489,0.003523304,-0.04201129,0.056637209,0.1966502,0.0706,0.0274214,0.0691769
rostral middle frontal,lh,0.319495341,-0.406746364,-0.014048833,0.00899532,0.016535523,-0.003667272,0.049719378,-0.017713017,0.018574394,0.01759885,0.036053,0,0.1807783,0.0010418
superior frontal,lh,0.214515499,0.417524904,0.004667662,0.080625735,-0.004253256,0.001148209,-0.069592018,0.022134283,-0.014031956,-0.051798174,0.0537018,0,0.1276206,0
superior parietal,lh,0.135829192,-0.001973282,0.012165268,-0.047040143,0.00982828,0.01490049,0.020855391,-0.09993623,-0.001536502,0.015668747,0.0896625,0.1227484,0.0082506,0.0613468
superior temporal,lh,-0.147763129,0.592628132,0.006156743,0.235434727,0.033499685,-0.009026667,-0.008014527,-0.123363055,-0.019619397,0.003573691,0.0950175,0.230599,0.071503,0.1929785
supramarginal,lh,0.011098611,0.414185329,-0.009270413,0.089746964,0.028792541,-0.010405301,0.082224295,-0.080291185,-0.0285835,0.010370519,0.0442986,0.1023848,0,0.0625526
frontal pole,lh,0.071952982,-1.633192194,0.024051509,-0.040595893,0.01090449,-0.005141338,-0.015481153,0.017389394,0.009055545,0.011616742,0.046021,0.0023821,0.0885745,0.0681082
temporal pole,lh,-0.339156783,0.869906276,-0.024602228,0.063771225,-0.01364464,0.00748029,-0.093166584,-0.05904572,-0.00789845,0.008430455,0.0252307,0.1362448,0.063388,0.141885
transverse temporal,lh,-0.151945295,1.759419508,-0.041619521,0.007027756,0.009298852,0.000830293,0.087509057,0.1144825,0.015263654,-0.0052795,0.0754996,0.2413826,0,0.1546428
insula,lh,0.155891549,-0.184234174,0.014846501,-0.044113464,-0.011179971,-0.01562701,0.067213909,-0.064195844,0.070379372,-0.058236584,0.0824962,0.0674618,0.0483238,0.090387
